fastq_r1,fastq_r2,strain,subpool,plate,lane
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,129S1_SvImJ,67K,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,129S1_SvImJ,67K,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,129S1_SvImJ,67K,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,129S1_SvImJ,67K,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,129S1_SvImJ,67K,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,129S1_SvImJ,67K,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,129S1_SvImJ,67K,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67K/IGVF021_67K_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,129S1_SvImJ,67K,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,129S1_SvImJ,67L,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,129S1_SvImJ,67L,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,129S1_SvImJ,67L,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,129S1_SvImJ,67L,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,129S1_SvImJ,67L,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,129S1_SvImJ,67L,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,129S1_SvImJ,67L,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67L/IGVF021_67L_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,129S1_SvImJ,67L,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,129S1_SvImJ,67M,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,129S1_SvImJ,67M,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,129S1_SvImJ,67M,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,129S1_SvImJ,67M,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,129S1_SvImJ,67M,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,129S1_SvImJ,67M,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,129S1_SvImJ,67M,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67M/IGVF021_67M_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,129S1_SvImJ,67M,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,129S1_SvImJ,67N,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,129S1_SvImJ,67N,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,129S1_SvImJ,67N,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,129S1_SvImJ,67N,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,129S1_SvImJ,67N,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,129S1_SvImJ,67N,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,129S1_SvImJ,67N,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67N/IGVF021_67N_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,129S1_SvImJ,67N,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,129S1_SvImJ,67O,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,129S1_SvImJ,67O,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,129S1_SvImJ,67O,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,129S1_SvImJ,67O,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,129S1_SvImJ,67O,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,129S1_SvImJ,67O,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,129S1_SvImJ,67O,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67O/IGVF021_67O_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,129S1_SvImJ,67O,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,A_J,67A,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,A_J,67A,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,A_J,67A,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,A_J,67A,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,A_J,67A,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,A_J,67A,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,A_J,67A,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67A/IGVF021_67A_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,A_J,67A,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,A_J,67B,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,A_J,67B,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,A_J,67B,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,A_J,67B,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,A_J,67B,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,A_J,67B,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,A_J,67B,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67B/IGVF021_67B_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,A_J,67B,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,A_J,67C,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,A_J,67C,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,A_J,67C,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,A_J,67C,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,A_J,67C,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,A_J,67C,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,A_J,67C,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67C/IGVF021_67C_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,A_J,67C,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,A_J,67D,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,A_J,67D,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,A_J,67D,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,A_J,67D,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,A_J,67D,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,A_J,67D,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,A_J,67D,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67D/IGVF021_67D_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,A_J,67D,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,A_J,67E,igvf_021,L1
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L2_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L2_2.fq.gz,A_J,67E,igvf_021,L2
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L3_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L3_2.fq.gz,A_J,67E,igvf_021,L3
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L4_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L4_2.fq.gz,A_J,67E,igvf_021,L4
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L5_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L5_2.fq.gz,A_J,67E,igvf_021,L5
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L6_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L6_2.fq.gz,A_J,67E,igvf_021,L6
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L7_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L7_2.fq.gz,A_J,67E,igvf_021,L7
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L8_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67E/IGVF021_67E_CKDL240016020-1A_227N2HLT4_L8_2.fq.gz,A_J,67E,igvf_021,L8
/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67F/IGVF021_67F_CKDL240016020-1A_227N2HLT4_L1_1.fq.gz,/dfs7/samlab/seyedam/IGVF/igvf_021/nova/IGVF_67F/IGVF021_67F_CKDL240016020-1A_227N2HLT4_L1_2.fq.gz,A_J,67F,igvf_021,L1
